Time_Period,pIES_MW,pGridSale_MW,pGridPurchase_MW,pTurbine_MW,qSteam_Turbine_MWth,pElectrolyzer_MW,pElectrolyzerSetpoint_MW,mHydrogenProduced_kg_per_hr,qSteam_Electrolyzer_MWth,H2_storage_level_kg,H2_to_storage_kg_per_hr,H2_from_storage_kg_per_hr,H2_to_market_kg_per_hr,BatterySOC_MWh,BatteryCharge_MW,BatteryDischarge_MW,Energy_Revenue_USD,H2_Revenue_USD,AS_Revenue_USD
7786,716.7450758735943,716.7450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,8160.0743182067345,4979.674796747968,4716.406363967935,4716.406363967935,4.5652173913043566,0.0,0.0,16184.103813225756,14149.219091903806,2425.993717659975
7787,804.1002764321678,804.1002764321678,0.0,928.1373699281028,2979.887195121951,125.0,125.0,3074.1869918699185,46.11280487804879,6360.118015169934,3074.1869918699185,4716.406363967935,4716.406363967935,1.8478260869565233,0.0,2.5,280369.66388498613,14149.219091903806,58463.92972592759
7788,716.7450758735943,716.7450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,6427.539760913616,4979.674796747968,4716.406363967935,4716.406363967935,1.8478260869565215,0.0,0.0,17972.382777530376,14149.219091903806,1686.7195695270436
7789,716.7450758735943,716.7450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,6494.961506657299,4979.674796747968,4716.406363967935,4716.406363967935,1.8478260869565215,0.0,0.0,15850.817352944536,14149.219091903806,1587.0790808790987
7790,716.7450758735943,716.7450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,6562.383252400974,4979.674796747968,4716.406363967935,4716.406363967935,1.8478260869565215,0.0,0.0,15951.16166356684,14149.219091903806,1466.2033858869486
7791,714.7129397677342,714.7129397677342,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,6629.804998144664,4979.674796747968,4716.406363967935,4716.406363967935,3.7173913043478137,2.0321361058601,0.0,14912.485488253773,14149.219091903806,1546.9791049349733
7792,716.7450758735943,716.7450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,6697.226743888354,4979.674796747968,4716.406363967935,4716.406363967935,3.7173913043477804,0.0,0.0,15499.612265766476,14149.219091903806,2052.2332319151774
7793,716.7450758735943,716.7450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,6764.6484896320435,4979.674796747968,4716.406363967935,4716.406363967935,3.717391304347794,0.0,0.0,19792.915270249305,14149.219091903806,3128.4141311978665
7794,716.7450758735943,716.7450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,6832.07023537573,4979.674796747968,4716.406363967935,4716.406363967935,3.717391304347809,0.0,0.0,28469.114413699164,14149.219091903806,5182.677882593225
7795,716.7450758735943,716.7450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,6899.491981119416,4979.674796747968,4716.406363967935,4716.406363967935,3.717391304347822,0.0,0.0,21559.691882277715,14149.219091903806,2687.4398808107962
