Time,Rse,Reg,Syn,TMR
2024-01-19 14:00:00,0.04,97.02,0.04,0.0
2024-01-19 15:00:00,0.04,31.93,0.04,0.0
2024-01-19 16:00:00,0.0,48.44,0.0,0.0
2024-01-19 17:00:00,0.0,7.87,0.0,0.0
2024-01-19 18:00:00,0.0,39.63,0.0,0.0
2024-01-19 19:00:00,0.0,30.56,0.0,0.0
2024-01-19 20:00:00,0.0,25.02,0.0,0.0
2024-01-19 21:00:00,0.0,18.48,0.0,0.0
2024-01-19 22:00:00,0.0,40.83,0.0,0.0
2024-01-19 23:00:00,0.0,46.05,0.0,0.0
2024-01-20 00:00:00,0.0,35.81,0.0,0.0
2024-01-20 01:00:00,0.0,44.48,0.0,0.0
2024-01-20 02:00:00,0.0,49.86,0.0,0.0
2024-01-20 03:00:00,0.02,55.64,0.02,0.0
2024-01-20 04:00:00,0.0,106.76,0.0,0.0
2024-01-20 05:00:00,0.0,49.17,0.0,0.0
2024-01-20 06:00:00,0.0,11.09,0.0,0.0
2024-01-20 07:00:00,0.0,25.55,0.0,0.0
2024-01-20 08:00:00,0.0,39.36,0.0,0.0
2024-01-20 09:00:00,0.0,6.75,0.0,0.0
2024-01-20 10:00:00,0.0,91.31,0.04,0.0
2024-01-20 11:00:00,0.04,21.08,0.04,0.0
2024-01-20 12:00:00,0.04,40.49,0.04,0.0
2024-01-20 13:00:00,0.0,60.75,0.0,0.0
2024-01-20 14:00:00,0.0,30.06,0.0,0.0
2024-01-20 15:00:00,0.01,23.57,0.01,0.0
2024-01-20 16:00:00,0.04,30.28,0.04,0.0
2024-01-20 17:00:00,0.0,0.83,0.0,0.0
2024-01-20 18:00:00,0.04,118.34,0.04,0.0
2024-01-20 19:00:00,0.0,41.11,0.0,0.0
2024-01-20 20:00:00,0.0,24.44,0.0,0.0
2024-01-20 21:00:00,0.0,24.34,0.0,0.0
